name,chem_formula,SMILES,BE(eV),metal_ion
Phenetole,C8H10O,CCOc1ccccc1,2.16,Zn
Propoxybenzene,C9H12O,CCCOc1ccccc1,2.16,Zn
Butyl phenyl ether,C10H14O,CCCCOc1ccccc1,2.15,Zn
Methyl tert-butyl ether,C5H12O,COC(C)(C)C,2.92,Zn
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,2.3,Zn
Dioxane,C4H8O2,C1COCCO1,2.34,Zn
"2-Methyl-1,4-dioxane",C5H10O2,CC1COCCO1,2.28,Zn
"5-Fluoro-1,3-dioxane",C4H7FO2,FC1COCOC1,3.19,Zn
"5,5-Difluoro-1,3-dioxane",C4H6F2O2,FC1(F)COCOC1,3.55,Zn
"4,4-Difluoro-1,3-dioxane",C4H6F2O2,FC1(F)CCOCO1,3.63,Zn
"2-Methoxy-1,3-dioxane",C5H10O3,COC1OCCCO1,3.21,Zn
"5-Methoxy-1,3-dioxane",C5H10O3,COC1COCOC1,2.63,Zn
"N,N-Dimethyl-1,3-dioxan-2-amine",C6H13NO2,CN(C)C1OCCCO1,2.59,Zn
Ethyl propionate,C5H10O2,CCOC(=O)CC,3.72,Zn
Methoxymethyl acetate,C4H8O3,COCOC(C)=O,3.39,Zn
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,3.01,Zn
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,3.71,Zn
Vinyl acetate,C4H6O2,C=COC(C)=O,2.84,Zn
Methyl glycinate,C3H7NO2,COC(=O)CN,2.33,Zn
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,3.71,Zn
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,3.43,Zn
Ethylene carbonate (EC),C3H4O3,O=C1OCCO1,4.62,Zn
Propylene carbonate (PC),C4H6O3,CC1COC(=O)O1,4.51,Zn
Diethyl carbonate (DEC),C5H10O3,CCOC(=O)OCC,4.16,Zn
Dimethyl carbonate (EMC),C3H6O3,COC(=O)OC,4.41,Zn
Ethyl methyl carbonate (EMC),C4H8O3,CCOC(=O)OC,4.27,Zn
Vinylene carbonate (VC),C3H2O3,O=c1occo1,3.13,Zn
"2-Oxo-1,3-dioxolane-4-carbonitrile",C4H3NO3,N#CC1COC(=O)O1,5.02,Zn
"4-Hydroxy-1,3-dioxolan-2-one",C3H4O4,O=C1OCC(O)O1,4.56,Zn
"4-Fluoro-1,3-dioxolan-2-one",C3H3FO3,O=C1OCC(F)O1,5,Zn
"4-(Trifluoromethyl)-1,3-dioxolan-2-one",C4H3F3O3,O=C1OCC(C(F)(F)F)O1,7.02,Zn
"Methyl 2,2,2-trifluoroethyl carbonate",C4H5F3O3,COC(=O)OCC(F)(F)F,4.74,Zn
Fluoromethyl methyl carbonate,C3H5FO3,COC(=O)OCF,4.7,Zn
Methoxycarbonyloxy-acetic acid,C4H6O5,COC(=O)OCC(=O)O,4.07,Zn
"4-Chloro-1,3-dioxolan-2-one",C3H3ClO3,O=C1OCC(Cl)O1,4.96,Zn
Chloromethyl Methyl Carbonate,C3H5ClO3,COC(=O)OCCl,5.24,Zn
"2-Oxo-1,3-dioxolane-4-carboxylic acid",C4H4O5,O=C1OCC(C(=O)O)O1,4.33,Zn
2-Hydroxyethyl methyl carbonate,C4H8O4,COC(=O)OCCO,3.66,Zn
Ethyl 2-fluoroethyl carbonate,C5H9FO3,CCOC(=O)OCCF,4.31,Zn
"2,2-Difluoroethyl ethyl carbonate",C5H8F2O3,CCOC(=O)OCC(F)F,4.53,Zn
2-Fluoroethyl methyl carbonate,C4H7FO3,COC(=O)OCCF,4.39,Zn
"2,2-Difluoroethyl Methyl Carbonate",C4H6F2O3,COC(=O)OCC(F)F,4.56,Zn
"Methyl 2,2,2-trifluoroethyl carbonate",C4H5F3O3,COC(=O)OCC(F)(F)F,4.8,Zn
Methyl propyl carbonate (MPC),C5H10O3,CCCOC(=O)OC,3.88,Zn
3-Fluoropropyl methyl carbonate,C5H9FO3,COC(=O)OCCCF,4.1,Zn
"Carbonic acid methyl 3,3,3-trifluoropropyl ester",C5H7F3O3,COC(=O)OCCC(F)(F)F,4.51,Zn
"Methyl 2,2,3,3-tetrafluoropropyl carbonate",C5H6F4O3,COC(=O)OCC(F)(F)C(F)F,4.66,Zn
