name,chem_formula,SMILES,BE(eV),metal_ion
6-methyl-5-hepten-2-one,C8H14O,CC(=O)CCC=C(C)C,0.879,Cs
3-pentanone,C5H10O,CCC(=O)CC,0.92,Cs
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,0.96,Cs
Methyl vinyl ketone,C5H8O,C=CC(C)=O,0.959,Cs
Methyl acrylate,C4H6O2,C=CC(=O)OC,0.938,Cs
Ethyl acrylate,C5H8O2,C=CC(=O)OCC,1.001,Cs
Butyl butyrate,C8H16O2,CCCCOC(=O)CCC,0.95,Cs
Butyl ethyl ketone,C8H16O,CCCCC(=O)CC,0.948,Cs
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,0.977,Cs
Propylene carbonate,C4H6O3,CC1COC(=O)O1,1.397,K
Ethylene carbonate,C3H4O3,O=C1OCCO1,1.365,K
Vinylene carbonate,C3H2O3,O=c1occo1,1.246,K
Fluoroethylene carbonate,C3H3FO3,O=C1OCC(F)O1,1.21,K
Dimethyl carbonate,C3H6O3,COC(=O)OC,1.078,K
Diethyl carbonate,C5H10O3,CCOC(=O)OCC,1.106,K
Ethyl methyl carbonate,C4H8O3,CCOC(=O)OC,1.108,K
Furan,C4H4O,c1ccoc1,0.605,K
"2,5-dimethylfuran",C6H8O,Cc1ccc(C)o1,0.741,K
Tetrahydrofuran,C4H8O,C1CCOC1,1.065,K
2-methyltetrahydrofuran,C5H10O,CC1CCCO1,1.095,K
Tetrahydropyran,C5H10O,C1CCOCC1,1.028,K
"1,3-dioxolane",C3H6O2,C1COCO1,0.911,K
"1,4-dioxane",C4H8O2,C1COCCO1,0.888,K
Ethoxymethoxymethane,C5H12O3,CCOCOC,0.881,K
Ethyl acetate,C4H8O2,CCOC(C)=O,1.185,K
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,1.187,K
Methyl propionate,C4H8O2,CCC(=O)OC,1.133,K
Ethyl propionate,C5H10O2,CCOC(=O)CC,1.172,K
Methyl formate,C2H4O2,COC=O,1.082,K
Ethyl butyrate,C6H12O2,CCCC(=O)OCC,1.142,K
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,1.165,K
Vinyl acetate,C4H6O2,C=COC(C)=O,1.076,K
Gamma-butyrolactone,C4H6O2,O=C1CCCO1,1.377,K
Gamma-valerolactone,C5H8O2,CC1CCC(=O)O1,1.412,K
Delta-valerolactone,C5H8O2,O=C1CCCCO1,1.456,K
Epsilon-caprolactone,C6H10O2,O=C1CCCCCO1,1.478,K
Gamma-hexanolactone,C6H10O2,CCCC1CC(=O)O1,1.426,K
Trimethyl phosphate,C3H9O4P,COP(=O)(OC)OC,1.611,K
Triethyl phosphate,C6H15O4P,CCOP(=O)(OCC)OCC,1.71,K
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,1.45,K
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,1.141,K
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,1.263,K
"1,3-propanesultone",C3H6O3S,O=S1(=O)CCCO1,1.327,K
"1,4-butane sultone",C4H8O3S,O=S1(=O)CCCCO1,1.356,K
Dimethyl sulfoxide,C2H6OS,CS(C)=O,1.725,K
Succinic anhydride,C4H4O3,O=C1CCC(=O)O1,1.095,K
Cyclohexanone,C6H10O,O=C1CCCCC1,1.265,K
Caprolactone,C6H10O2,O=C1CCCCCO1,1.478,K
Propiolactone,C3H4O2,O=C1CCO1,1.228,K
Cyclopentanone,C5H8O,O=C1CCCC1,1.247,K
Diketene,C4H4O2,C=C1CC(=O)O1,1.126,K
Acetophenone,C8H8O,CC(=O)c1ccccc1,1.235,K
Guaiacol,C7H8O2,COc1ccccc1O,1.535,K
Benzaldehyde,C7H6O,O=Cc1ccccc1,1.188,K
2-methylcyclohexanone,C7H12O,CC1CCCCC1=O,1.286,K
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,1.141,K
Diethylsulfate,C4H10O4S,CCOS(=O)(=O)OCC,1.384,K
"2,3-butanedione",C4H6O2,CC(=O)C(C)=O,0.899,K
Benzyl benzoate,C14H12O2,O=C(OCc1ccccc1)c1ccccc1,1.682,K
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,0.758,K
Pentanal,C5H10O,CCCCC=O,1.079,K
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,1.139,K
Acetone,C3H6O,CC(C)=O,1.219,K
Diethyl ether,C4H10O,CCOCC,1.056,K
Methyl methacrylate,C5H8O2,C=C(C)C(=O)OC,1.186,K
Chloroacetone,C3H5ClO,CC(=O)CCl,1.047,K
N-butyl acetate,C6H12O2,CCCCOC(C)=O,1.202,K
2-heptanone,C7H14O,CCCCCC(C)=O,1.187,K
4-heptanone,C7H14O,CCCC(=O)CCC,1.159,K
6-methyl-5-hepten-2-one,C8H14O,CC(=O)CCC=C(C)C,1.111,K
3-pentanone,C5H10O,CCC(=O)CC,1.152,K
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,1.19,K
Methyl vinyl ketone,C5H8O,C=CC(C)=O,1.187,K
Methyl acrylate,C4H6O2,C=CC(=O)OC,1.178,K
Ethyl acrylate,C5H8O2,C=CC(=O)OCC,1.237,K
Butyl butyrate,C8H16O2,CCCCOC(=O)CCC,1.189,K
Butyl ethyl ketone,C8H16O,CCCCC(=O)CC,1.174,K
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,1.215,K
Propylene carbonate,C4H6O3,CC1COC(=O)O1,2.399,Li
Ethylene carbonate,C3H4O3,O=C1OCCO1,2.343,Li
Vinylene carbonate,C3H2O3,O=c1occo1,2.179,Li
Fluoroethylene carbonate,C3H3FO3,O=C1OCC(F)O1,2.128,Li
Dimethyl carbonate,C3H6O3,COC(=O)OC,2.068,Li
Diethyl carbonate,C5H10O3,CCOC(=O)OCC,2.13,Li
Ethyl methyl carbonate,C4H8O3,CCOC(=O)OC,2.114,Li
Furan,C4H4O,c1ccoc1,1.32,Li
"2,5-dimethylfuran",C6H8O,Cc1ccc(C)o1,1.515,Li
Tetrahydrofuran,C4H8O,C1CCOC1,2.047,Li
2-methyltetrahydrofuran,C5H10O,CC1CCCO1,2.096,Li
Tetrahydropyran,C5H10O,C1CCOCC1,1.996,Li
"1,3-dioxolane",C3H6O2,C1COCO1,1.825,Li
"1,4-dioxane",C4H8O2,C1COCCO1,1.808,Li
Ethoxymethoxymethane,C5H12O3,CCOCOC,1.837,Li
Ethyl acetate,C4H8O2,CCOC(C)=O,2.206,Li
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,2.222,Li
Methyl propionate,C4H8O2,CCC(=O)OC,2.138,Li
Ethyl propionate,C5H10O2,CCOC(=O)CC,2.202,Li
Methyl formate,C2H4O2,COC=O,2.011,Li
Ethyl butyrate,C6H12O2,CCCC(=O)OCC,2.18,Li
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,2.183,Li
Vinyl acetate,C4H6O2,C=COC(C)=O,2.052,Li
Gamma-butyrolactone,C4H6O2,O=C1CCCO1,2.381,Li
Gamma-valerolactone,C5H8O2,CC1CCC(=O)O1,2.438,Li
Delta-valerolactone,C5H8O2,O=C1CCCCO1,2.502,Li
Epsilon-caprolactone,C6H10O2,O=C1CCCCCO1,2.536,Li
Gamma-hexanolactone,C6H10O2,CCCC1CC(=O)O1,2.454,Li
Trimethyl phosphate,C3H9O4P,COP(=O)(OC)OC,2.79,Li
Triethyl phosphate,C6H15O4P,CCOP(=O)(OCC)OCC,2.914,Li
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,2.481,Li
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,2.08,Li
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,2.232,Li
"1,3-propanesultone",C3H6O3S,O=S1(=O)CCCO1,2.275,Li
"1,4-butane sultone",C4H8O3S,O=S1(=O)CCCCO1,2.314,Li
Dimethyl sulfoxide,C2H6OS,CS(C)=O,2.905,Li
Succinic anhydride,C4H4O3,O=C1CCC(=O)O1,1.99,Li
Cyclohexanone,C6H10O,O=C1CCCCC1,2.259,Li
Caprolactone,C6H10O2,O=C1CCCCCO1,2.536,Li
Propiolactone,C3H4O2,O=C1CCO1,2.162,Li
Cyclopentanone,C5H8O,O=C1CCCC1,2.23,Li
Diketene,C4H4O2,C=C1CC(=O)O1,2.023,Li
Acetophenone,C8H8O,CC(=O)c1ccccc1,2.272,Li
Guaiacol,C7H8O2,COc1ccccc1O,2.882,Li
Benzaldehyde,C7H6O,O=Cc1ccccc1,2.177,Li
2-methylcyclohexanone,C7H12O,CC1CCCCC1=O,2.293,Li
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,2.08,Li
Diethylsulfate,C4H10O4S,CCOS(=O)(=O)OCC,2.335,Li
"2,3-butanedione",C4H6O2,CC(=O)C(C)=O,1.768,Li
Benzyl benzoate,C14H12O2,O=C(OCc1ccccc1)c1ccccc1,2.758,Li
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,1.625,Li
Pentanal,C5H10O,CCCCC=O,1.992,Li
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,2.159,Li
Acetone,C3H6O,CC(C)=O,2.19,Li
Diethyl ether,C4H10O,CCOCC,2.031,Li
Methyl methacrylate,C5H8O2,C=C(C)C(=O)OC,2.208,Li
Chloroacetone,C3H5ClO,CC(=O)CCl,1.938,Li
N-butyl acetate,C6H12O2,CCCCOC(C)=O,2.219,Li
2-heptanone,C7H14O,CCCCCC(C)=O,2.188,Li
4-heptanone,C7H14O,CCCC(=O)CCC,2.176,Li
6-methyl-5-hepten-2-one,C8H14O,CC(=O)CCC=C(C)C,2.114,Li
3-pentanone,C5H10O,CCC(=O)CC,2.143,Li
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,2.225,Li
Methyl vinyl ketone,C5H8O,C=CC(C)=O,2.19,Li
Methyl acrylate,C4H6O2,C=CC(=O)OC,2.195,Li
Ethyl acrylate,C5H8O2,C=CC(=O)OCC,2.273,Li
Butyl butyrate,C8H16O2,CCCCOC(=O)CCC,2.214,Li
Butyl ethyl ketone,C8H16O,CCCCC(=O)CC,2.197,Li
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,2.23,Li
Propylene carbonate,C4H6O3,CC1COC(=O)O1,1.789,Na
Ethylene carbonate,C3H4O3,O=C1OCCO1,1.747,Na
Vinylene carbonate,C3H2O3,O=c1occo1,1.61,Na
Fluoroethylene carbonate,C3H3FO3,O=C1OCC(F)O1,1.569,Na
Dimethyl carbonate,C3H6O3,COC(=O)OC,1.454,Na
Diethyl carbonate,C5H10O3,CCOC(=O)OCC,1.492,Na
Ethyl methyl carbonate,C4H8O3,CCOC(=O)OC,1.488,Na
Furan,C4H4O,c1ccoc1,0.884,Na
"2,5-dimethylfuran",C6H8O,Cc1ccc(C)o1,1.059,Na
Tetrahydrofuran,C4H8O,C1CCOC1,1.454,Na
2-methyltetrahydrofuran,C5H10O,CC1CCCO1,1.492,Na
Tetrahydropyran,C5H10O,C1CCOCC1,1.411,Na
"1,3-dioxolane",C3H6O2,C1COCO1,1.273,Na
"1,4-dioxane",C4H8O2,C1COCCO1,1.25,Na
Ethoxymethoxymethane,C5H12O3,CCOCOC,1.283,Na
Ethyl acetate,C4H8O2,CCOC(C)=O,1.574,Na
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,1.585,Na
Methyl propionate,C4H8O2,CCC(=O)OC,1.524,Na
Ethyl propionate,C5H10O2,CCOC(=O)CC,1.571,Na
Methyl formate,C2H4O2,COC=O,1.444,Na
Ethyl butyrate,C6H12O2,CCCC(=O)OCC,1.542,Na
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,1.564,Na
Vinyl acetate,C4H6O2,C=COC(C)=O,1.454,Na
Gamma-butyrolactone,C4H6O2,O=C1CCCO1,1.777,Na
Gamma-valerolactone,C5H8O2,CC1CCC(=O)O1,1.82,Na
Delta-valerolactone,C5H8O2,O=C1CCCCO1,1.863,Na
Epsilon-caprolactone,C6H10O2,O=C1CCCCCO1,1.9,Na
Gamma-hexanolactone,C6H10O2,CCCC1CC(=O)O1,1.833,Na
Trimethyl phosphate,C3H9O4P,COP(=O)(OC)OC,2.081,Na
Triethyl phosphate,C6H15O4P,CCOP(=O)(OCC)OCC,2.177,Na
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,1.879,Na
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,1.527,Na
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,1.68,Na
"1,3-propanesultone",C3H6O3S,O=S1(=O)CCCO1,1.721,Na
"1,4-butane sultone",C4H8O3S,O=S1(=O)CCCCO1,1.752,Na
Dimethyl sulfoxide,C2H6OS,CS(C)=O,2.183,Na
Succinic anhydride,C4H4O3,O=C1CCC(=O)O1,1.45,Na
Cyclohexanone,C6H10O,O=C1CCCCC1,1.654,Na
Caprolactone,C6H10O2,O=C1CCCCCO1,1.9,Na
Propiolactone,C3H4O2,O=C1CCO1,1.592,Na
Cyclopentanone,C5H8O,O=C1CCCC1,1.632,Na
Diketene,C4H4O2,C=C1CC(=O)O1,1.481,Na
Acetophenone,C8H8O,CC(=O)c1ccccc1,1.635,Na
Guaiacol,C7H8O2,COc1ccccc1O,2.077,Na
Benzaldehyde,C7H6O,O=Cc1ccccc1,1.57,Na
2-methylcyclohexanone,C7H12O,CC1CCCCC1=O,1.679,Na
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,1.527,Na
Diethylsulfate,C4H10O4S,CCOS(=O)(=O)OCC,1.76,Na
"2,3-butanedione",C4H6O2,CC(=O)C(C)=O,1.235,Na
Benzyl benzoate,C14H12O2,O=C(OCc1ccccc1)c1ccccc1,2.139,Na
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,1.12,Na
Pentanal,C5H10O,CCCCC=O,1.438,Na
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,1.54,Na
Acetone,C3H6O,CC(C)=O,1.6,Na
Diethyl ether,C4H10O,CCOCC,1.473,Na
Methyl methacrylate,C5H8O2,C=C(C)C(=O)OC,1.583,Na
Chloroacetone,C3H5ClO,CC(=O)CCl,1.399,Na
N-butyl acetate,C6H12O2,CCCCOC(C)=O,1.589,Na
2-heptanone,C7H14O,CCCCCC(C)=O,1.58,Na
4-heptanone,C7H14O,CCCC(=O)CCC,1.553,Na
6-methyl-5-hepten-2-one,C8H14O,CC(=O)CCC=C(C)C,1.504,Na
3-pentanone,C5H10O,CCC(=O)CC,1.541,Na
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,1.587,Na
Methyl vinyl ketone,C5H8O,C=CC(C)=O,1.58,Na
Methyl acrylate,C4H6O2,C=CC(=O)OC,1.57,Na
Ethyl acrylate,C5H8O2,C=CC(=O)OCC,1.632,Na
Butyl butyrate,C8H16O2,CCCCOC(=O)CCC,1.578,Na
Butyl ethyl ketone,C8H16O,CCCCC(=O)CC,1.582,Na
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,1.601,Na
Propylene carbonate,C4H6O3,CC1COC(=O)O1,1.307,Rb
Ethylene carbonate,C3H4O3,O=C1OCCO1,1.272,Rb
Vinylene carbonate,C3H2O3,O=c1occo1,1.157,Rb
Fluoroethylene carbonate,C3H3FO3,O=C1OCC(F)O1,1.129,Rb
Dimethyl carbonate,C3H6O3,COC(=O)OC,0.968,Rb
Diethyl carbonate,C5H10O3,CCOC(=O)OCC,1.01,Rb
Ethyl methyl carbonate,C4H8O3,CCOC(=O)OC,1.006,Rb
Furan,C4H4O,c1ccoc1,0.545,Rb
"2,5-dimethylfuran",C6H8O,Cc1ccc(C)o1,0.649,Rb
Tetrahydrofuran,C4H8O,C1CCOC1,0.978,Rb
2-methyltetrahydrofuran,C5H10O,CC1CCCO1,1.007,Rb
Tetrahydropyran,C5H10O,C1CCOCC1,0.94,Rb
"1,3-dioxolane",C3H6O2,C1COCO1,0.836,Rb
"1,4-dioxane",C4H8O2,C1COCCO1,0.801,Rb
Ethoxymethoxymethane,C5H12O3,CCOCOC,0.809,Rb
Ethyl acetate,C4H8O2,CCOC(C)=O,1.083,Rb
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,1.093,Rb
Methyl propionate,C4H8O2,CCC(=O)OC,1.03,Rb
Ethyl propionate,C5H10O2,CCOC(=O)CC,1.072,Rb
Methyl formate,C2H4O2,COC=O,0.981,Rb
Ethyl butyrate,C6H12O2,CCCC(=O)OCC,1.04,Rb
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,1.063,Rb
Vinyl acetate,C4H6O2,C=COC(C)=O,0.984,Rb
Gamma-butyrolactone,C4H6O2,O=C1CCCO1,1.292,Rb
Gamma-valerolactone,C5H8O2,CC1CCC(=O)O1,1.328,Rb
Delta-valerolactone,C5H8O2,O=C1CCCCO1,1.351,Rb
Epsilon-caprolactone,C6H10O2,O=C1CCCCCO1,1.389,Rb
Gamma-hexanolactone,C6H10O2,CCCC1CC(=O)O1,1.333,Rb
Trimethyl phosphate,C3H9O4P,COP(=O)(OC)OC,1.512,Rb
Triethyl phosphate,C6H15O4P,CCOP(=O)(OCC)OCC,1.595,Rb
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,1.35,Rb
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,1.056,Rb
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,1.18,Rb
"1,3-propanesultone",C3H6O3S,O=S1(=O)CCCO1,1.24,Rb
"1,4-butane sultone",C4H8O3S,O=S1(=O)CCCCO1,1.281,Rb
Dimethyl sulfoxide,C2H6OS,CS(C)=O,1.59,Rb
Succinic anhydride,C4H4O3,O=C1CCC(=O)O1,1.025,Rb
Cyclohexanone,C6H10O,O=C1CCCCC1,1.158,Rb
Caprolactone,C6H10O2,O=C1CCCCCO1,1.389,Rb
Propiolactone,C3H4O2,O=C1CCO1,1.14,Rb
Cyclopentanone,C5H8O,O=C1CCCC1,1.144,Rb
Diketene,C4H4O2,C=C1CC(=O)O1,1.049,Rb
Acetophenone,C8H8O,CC(=O)c1ccccc1,1.131,Rb
Guaiacol,C7H8O2,COc1ccccc1O,1.398,Rb
Benzaldehyde,C7H6O,O=Cc1ccccc1,1.085,Rb
2-methylcyclohexanone,C7H12O,CC1CCCCC1=O,1.178,Rb
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,1.056,Rb
Diethylsulfate,C4H10O4S,CCOS(=O)(=O)OCC,1.299,Rb
"2,3-butanedione",C4H6O2,CC(=O)C(C)=O,0.807,Rb
Benzyl benzoate,C14H12O2,O=C(OCc1ccccc1)c1ccccc1,1.591,Rb
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,0.738,Rb
Pentanal,C5H10O,CCCCC=O,0.984,Rb
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,1.04,Rb
Acetone,C3H6O,CC(C)=O,1.117,Rb
Diethyl ether,C4H10O,CCOCC,0.96,Rb
Methyl methacrylate,C5H8O2,C=C(C)C(=O)OC,1.078,Rb
Chloroacetone,C3H5ClO,CC(=O)CCl,0.964,Rb
N-butyl acetate,C6H12O2,CCCCOC(C)=O,1.098,Rb
2-heptanone,C7H14O,CCCCCC(C)=O,1.081,Rb
4-heptanone,C7H14O,CCCC(=O)CCC,1.06,Rb
6-methyl-5-hepten-2-one,C8H14O,CC(=O)CCC=C(C)C,1.015,Rb
3-pentanone,C5H10O,CCC(=O)CC,1.055,Rb
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,1.095,Rb
Methyl vinyl ketone,C5H8O,C=CC(C)=O,1.084,Rb
Methyl acrylate,C4H6O2,C=CC(=O)OC,1.069,Rb
Ethyl acrylate,C5H8O2,C=CC(=O)OCC,1.134,Rb
Butyl butyrate,C8H16O2,CCCCOC(=O)CCC,1.087,Rb
Butyl ethyl ketone,C8H16O,CCCCC(=O)CC,1.089,Rb
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,1.112,Rb
"1,3-dioxolane",hahah,C1COCO1,0.413077428,Al
"1,3-propane sultone",hahah,O=S1(=O)CCCO1,0.363113883,Al
"1,4-butane sultone",hahah,O=S1(=O)CCCCO1,0.290256623,Al
"1,4-dioxane",hahah,C1COCCO1,0.426592577,Al
"2,3-butanedione",hahah,CC(=O)C(C)=O,0.695451664,Al
"2,5-dimethyl furan",hahah,Cc1ccc(C)o1,0.425672467,Al
2-heptanone,hahah,CCCCCC(C)=O,0.604131756,Al
2-methyl tetrahydro furan,hahah,CC1CCCO1,0.405396336,Al
2-methyl cyclohexanone,hahah,CC1CCCCC1=O,0.521616599,Al
2-methoxy ethyl acetate,hahah,CCOC(=O)COC,0.509776244,Al
3-pentanone,hahah,CCC(=O)CC,0.547265744,Al
4-heptanone,hahah,CCCC(=O)CCC,0.50213658,Al
6-methyl-5-hepten-2-one,hahah,CC(=O)CCC=C(C)C,0.522671774,Al
acetone,hahah,CC(C)=O,0.579575063,Al
acetophenone,hahah,CC(=O)c1ccccc1,0.789998954,Al
butyl butyrate,hahah,CCCCOC(=O)CCC,0.461115773,Al
butyl ethyl ketone,hahah,CCCCC(=O)CC,0.61683779,Al
benzyl benzoate,hahah,O=C(OCc1ccccc1)c1ccccc1,0.53486448,Al
benzaldehyde,hahah,O=Cc1ccccc1,0.834540608,Al
caprolactone,hahah,O=C1CCCCCO1,0.496709056,Al
chloro acetone,hahah,CC(=O)CCl,0.754229527,Al
cyclohexanone,hahah,O=C1CCCCC1,0.562632911,Al
cyclopentanone,hahah,O=C1CCCC1,0.599125282,Al
diethyl carbonate,hahah,CCOC(=O)OCC,0.451308642,Al
diethyl sulfate,hahah,CCOS(=O)(=O)OCC,0.380929801,Al
diethyl ether,hahah,CCOCC,0.394016701,Al
diketene,hahah,C=C1CC(=O)O1,0.505869958,Al
dimethyl carbonate,hahah,COC(=O)OC,0.470561831,Al
dimethyl sulfoxide,hahah,CS(C)=O,0.480666811,Al
diphenyl ether,hahah,c1ccc(Oc2ccccc2)cc1,0.491172434,Al
delta valerolactone,hahah,O=C1CCCCO1,0.50925915,Al
ethyl acetate,hahah,CCOC(C)=O,0.437621325,Al
ethyl butyrate,hahah,CCCC(=O)OCC,0.459281694,Al
ethylene carbonate,hahah,O=C1OCCO1,0.411762373,Al
ethylene methyl carbonate,hahah,CCOC(=O)OC,0.467601986,Al
ethoxy methoxy methane,hahah,CCOCOC,0.482882106,Al
ethyl propionate,hahah,CCOC(=O)CC,0.439198761,Al
ethyl acrylate,hahah,C=CC(=O)OCC,0.540826641,Al
fluro ethylene carbonate,hahah,O=C1OCCO1,0.635657719,Al
furan,hahah,c1ccoc1,0.303817773,Al
gamma butyrolactone,hahah,O=C1CCCO1,0.440920235,Al
gamma hexanolactone,hahah,CCC1CCC(=O)O1,0.495537729,Al
guaiacol,hahah,COc1ccccc1O,0.483536469,Al
gamma valerolactone,hahah,CC1CCC(=O)O1,0.502662554,Al
isopropyl acetate,hahah,CC(=O)OC(C)C,0.436855316,Al
isoamyl acetate,hahah,CC(=O)OCCC(C)C,0.476592692,Al
methyl benzenesulfonate,hahah,COS(=O)(=O)c1ccccc1,0.448277122,Al
methyl acrylate,hahah,C=CC(=O)OC,0.678058258,Al
methyl formate,hahah,COC=O,0.432873237,Al
methyl isobutyrate,hahah,COC(=O)C(C)C,0.445256004,Al
methyl methacrylate,hahah,C=C(C)C(=O)OC,0.623933026,Al
methyl methane sulfonate,hahah,COS(C)(=O)=O,0.371964534,Al
methyl propionate,hahah,CCC(=O)OC,0.420802138,Al
methyl vinyl ketone,hahah,C=CC(C)=O,1.000957712,Al
n-butyl acetate,hahah,CCCCOC(C)=O,0.458059655,Al
propylene carbonate,hahah,CC1COC(=O)O1,0.312293644,Al
pentanal,hahah,CCCCC=O,0.631378272,Al
propiolactone,hahah,O=C1CCO1,0.44323823,Al
succinic anhydride,hahah,O=C1CCC(=O)O1,0.493187393,Al
sulfolane,hahah,O=S1(=O)CCCC1,0.3220529,Al
triethyl phosphate,hahah,CCOP(=O)(OCC)OCC,0.433484795,Al
tetrahydro furan,hahah,C1CCOC1,0.355150588,Al
tetrahydro pyran,hahah,C1CCOCC1,0.394191259,Al
trimethyl phosphate,hahah,COP(=O)(OC)OC,0.422695158,Al
vinyl acetate,hahah,C=COC(C)=O,0.471146392,Al
vinyl carbonate,hahah,O=c1occo1,0.458010442,Al
